Word,Meaning,Score,Consecutive hits,Consecutive miss,Repeat word?
Attach,Anexar,6,1,-1,
Exhibit,Exibir,6,1,-1,
Exclude,Excluir,6,1,-1,
Adequate,Adequado,6,1,-1,
Footer,Rodapé,6,1,-1,
Apparent,Aparente,-1,0,-1,
Adapt,Adaptar,6,1,-1,
Draft,Esboço/Projeto,6,1,-1,
Analogy,Analogia,6,1,-1,
Evaluate,Avaliar,6,1,-1,
Approximate,Aproximado,6,1,-1,
Develop,Desenvolve,6,1,-1,
Contend,Competir/Lutar,6,1,-1,
Discover,Descobrir,6,1,-1,
Claim,Afirmação,6,1,-1,
Ambiguous,Ambíguo,6,1,-1,
Acknowledge,Reconhecer,6,1,-1,
Assign,Atribuir,6,1,-1,
Devise,Inventar,6,1,-1,
Clue,Pista/Dica,6,1,-1,
Authority,Autoridade,6,1,-1,
Adjust,Ajustar,6,1,-1,
Former,Antigo,6,1,-1,
Associate,Associado,6,1,-1,
Assess,Avaliar,6,1,-1,
Complete,Completo,6,1,-1,
Approach,Aproximação,6,1,-1,
Append,Acrescentar,6,1,-1,
Brief,Breve/Curto,6,1,-1,
Discuss,Discutir,6,1,-1,
Convey,Transmitir,6,1,-1,
Assume,Presumir,6,1,-1,
Access,Acesso,6,1,-1,
Assumption,Hipótese,6,1,-1,
Employ,Empregar,6,1,-1,
Appreciate,Apreciar,6,1,-1,
Clarify,Esclarecer,6,1,-1,
Capacity,Capacidade,6,1,-1,
Always,Sempre,6,1,-1,
Aspect,Aspecto,6,1,-1,
Contradict,Contraditório,6,1,-1,
Coincide,Coincidir,-1,0,-1,
Concrete,Concreto/Real,6,1,-1,
Depict,Retratar,6,1,-1,
Collapse,Colapso,-1,0,-1,
Arbitrary,Arbitrário,6,1,-1,
Attribute,Atributo,6,1,-1,
Evidence,Prova/Evidência,6,1,-1,
Character,Personagem,6,1,-1,
Characteristic,Característico,6,1,-1,
Aggregate,Agregar,6,1,-1,
Assert,Afirmar,-1,0,-1,
Compose,Compor,6,1,-1,
Acquire,Adquirir,6,1,-1,
Annual,Anual,6,1,-1,
Accompany,Acompanhar,6,1,-1,
Capable,Capaz,6,1,-1,
Clarify,Esclarecer,6,1,-1,
Appropriate,Apropriado,6,1,-1,
Allocate,Distribuir,6,1,-1,
OldDeck,,,,,
Life,Vida,0,-1,-1,
Building,Prédio,0,-1,-1,
Apartment,Apartamento,0,-1,-1,
Honey,Mel,0,-1,-1,
Toy,Brinquedo,0,-1,-1,
Tomorrow,Amanhã,0,-1,-1,
Die,Morrer,0,-1,-1,
Travel,Viajar,0,-1,-1,
Trip,Viagem,0,-1,-1,
Fly,Voar,0,-1,-1,
Weather,Tempo,0,-1,-1,
Rain,Chuva/Chover,0,-1,-1,
Snow,Neve,0,-1,-1,
Town,Cidade,0,-1,-1,
Also,Também,0,-1,-1,
Poor,Pobre,0,-1,-1,
Rich,Rico,0,-1,-1,
Thin,Magro,0,-1,-1,
Fat,Gordo,0,-1,-1,
Wall,Parede,0,-1,-1,
Floor,Chão,0,-1,-1,
Doll,Boneca,0,-1,-1,
Grass,Grama,0,-1,-1,
Check,Conta/Checar,0,-1,-1,
Restrom,Banheiro,0,-1,-1,
Those,Aqueles,0,-1,-1,
These,Esses,0,-1,-1,
Ear,Orelha,0,-1,-1,
Catch,Pegar/Capturar,0,-1,-1,
Cracker,Bolacha,0,-1,-1,
Kick,Chutar,0,-1,-1,
Often,Frequentemente,0,-1,-1,
Late,Tarde/Atrasado,0,-1,-1,
Arm,Braço,0,-1,-1,
Feel,Sentir,0,-1,-1,
Turn,Virar,0,-1,-1,
Street,Rua,0,-1,-1,
Back,Voltar/Costas,0,-1,-1,
Outside,Lá fora,0,-1,-1,
Only,Apenas,0,-1,-1,
Past,Passado/Passando,0,-1,-1,
Pencil,Lápis,0,-1,-1,
Blackboard,Quadro negro,0,-1,-1,
Bookcase,Estante,0,-1,-1,
Driver,Motorista,0,-1,-1,
Be,Ser/Estar,0,-1,-1,
Because,Porque,0,-1,-1,
It is,É,0,-1,-1,
Ice cream,Sorvete,0,-1,-1,
Juice,Suco,0,-1,-1,
Think,Pensar/Achar que,0,-1,-1,
Call,Telefonar/Ligar,0,-1,-1,
Dangerous,Perigoso,0,-1,-1,
Pair,Par,0,-1,-1,
Begin,Iniciar,0,-1,-1,
Again,De novo,0,-1,-1,
Boring,Chato/Entediante,0,-1,-1,
Listening to,Ouvir (com atenção),0,-1,-1,
Sentence,Sentença/Frase,0,-1,-1,
Last,Passado/Último,0,-1,-1,
College,Faculdade,0,-1,-1,
Thousand,Mil,0,-1,-1,
Meal,Refeição,0,-1,-1,
Cost,Custa,0,-1,-1,
Shower,Chuveiro/Banho,0,-1,-1,
Any,Nenhum/Algum,0,-1,-1,
See you,Até,0,-1,-1,
Met,Conheceu,0,-1,-1,
Present,Presente,0,-1,-1,
Wrote,Escreveu,0,-1,-1,
So,Tão/Muito,0,-1,-1,
Next,Próximo/No Próximo,0,-1,-1,
Remember,Lembrar,0,-1,-1,
Then,Então,0,-1,-1,
Before,Antes,0,-1,-1,
Vacation,Férias,0,-1,-1,
Looking at,Olhando para,0,-1,-1,
Early,Cedo,0,-1,-1,
Get to,Chegar ao,0,-1,-1,
Get there,Chegar lá,0,-1,-1,
Come,Vir,0,-1,-1,
Each,Cada,0,-1,-1,
Mouth,Boca,0,-1,-1,
Bed,Cama,0,-1,-1,
Foot,Pé,0,-1,-1,
Feet,Pés,0,-1,-1,
Tooth,Dente,0,-1,-1,
Teeth,Dentes,0,-1,-1,
Hand,Mão,0,-1,-1,
Beard,Barba,0,-1,-1,
Tired,Cansado,0,-1,-1,
Excited about,Animado com,0,-1,-1,
Great,Ótimo,0,-1,-1,
Meet,Conhecer/Encontrar,0,-1,-1,
Letter,Carta,0,-1,-1,
Could,Poderia,0,-1,-1,
Close,Próximo,0,-1,-1,
Between,Entre,0,-1,-1,
Road,Estrada,0,-1,-1,
Behind,Atrás,0,-1,-1,
Taking,Fazendo/Tomando/Levando,0,-1,-1,
Worry,Preocupar-se,0,-1,-1,
Course,Curso,0,-1,-1,
Waitress,Garçonete,0,-1,-1,
Waiter,Garçom,0,-1,-1,
Sweet,Doce,0,-1,-1,
Very much,Demais/Muito,0,-1,-1,
Tell,Dizer/Contar,0,-1,-1,
Glass,Vidro/Copo/Óculos,0,-1,-1,
Watch,Assistir/Observar,0,-1,-1,
Put,Colocar,0,-1,-1,
Exciting,Emocionante,0,-1,-1,
Better,Melhor,0,-1,-1,
Hear,Ouvir (sem intenção),0,-1,-1,
Angry,Bravo/Com raiva,0,-1,-1,
Drove,Dirigiu,0,-1,-1,
Wrong,Errado,0,-1,-1,
Anything,Alguma coisa/Nada,0,-1,-1,
Hard,Intenso/Duro/Difícil,0,-1,-1,
Choose,Escolher,0,-1,-1,
Wake up,Acordar,0,-1,-1,
Subject,Matéria/Disciplina,0,-1,-1,
Million,Milhão,0,-1,-1,
As well,Também,0,-1,-1,
Of course,Claro,0,-1,-1,
Yesterday,Ontem,0,-1,-1,
Song,Música,0,-1,-1,
Pleased,Prazer/Satisfação,0,-1,-1,
As,Como/De,0,-1,-1,
Get up,Levantar,0,-1,-1,
Forget,Esquecer,0,-1,-1,
Cry,Chorar,0,-1,-1,
Ate,Comeu,0,-1,-1,
Slowly,Lentamente,0,-1,-1,
Laugh,Rir,0,-1,-1,
Forgot,Esqueceu,0,-1,-1,
Light,Luz,0,-1,-1,
Ad,Anúncio,0,-1,-1,
Police,Polícia,0,-1,-1,
Sell,Vender,0,-1,-1,
Sold,Vendeu,0,-1,-1,
Company,Empresa,0,-1,-1,
Aunt,Tia,0,-1,-1,
Uncle,Tio,0,-1,-1,
Agree,Concordar,0,-1,-1,
Left,Saiu/Esquerda,0,-1,-1,
Fire,Fogo/Incêndio,0,-1,-1,
Bottle,Garrafa,0,-1,-1,
Ever,Sempre,0,-1,-1,
Forest,Floresta,0,-1,-1,
Alone,Sozinho,0,-1,-1,
Top,Topo,0,-1,-1,
Bridge,Ponte,0,-1,-1,
Never,Nunca,0,-1,-1,
Schedule,Programação/Agenda,0,-1,-1,
Wind,Ventar,0,-1,-1,
Entrance,Entrada,0,-1,-1,
All right,Tudo certo,0,-1,-1,
Above,Acima/Acima de,0,-1,-1,
Bath,Banho de banheira,0,-1,-1,
Bicycle,Bicicleta,0,-1,-1,
Sit down,Sente-se,0,-1,-1,
Accident,Acidente,0,-1,-1,
Come inside,Entre,0,-1,-1,
Put down,Largue,0,-1,-1,
Field,Campo,0,-1,-1,
Owl,Coruja,0,-1,-1,
Star,Estrela,0,-1,-1,
Snake,Cobra,0,-1,-1,
Bar,Bar,0,-1,-1,
Pretty,Lindo,0,-1,-1,
Blood,Sangue,0,-1,-1,
Motorcycle,Moto,0,-1,-1,
Birth,Nascimento,0,-1,-1,
Rabbit,Coelho,0,-1,-1,
Wood,Madeira,0,-1,-1,
Mountain,Montanha,0,-1,-1,
Yet,Já/Ainda,0,-1,-1,
Stay,Ficar,0,-1,-1,
Made,Fez,0,-1,-1,
Ask,Perguntar/Pedir,0,-1,-1,
Talk,Conversar/Falar,0,-1,-1,
Went,Foi,0,-1,-1,
Large,Grande,0,-1,-1,
Said,Disse,0,-1,-1,
Took,Tomou,0,-1,-1,
At about,Por volta de,0,-1,-1,
Cook,Cozinheiro/Cozinhar,0,-1,-1,
Take,Tomar/Levar/Fazer,0,-1,-1,
Thirsty,Com sede,0,-1,-1,
Say,Dizer,0,-1,-1,
Hate,Odeia,0,-1,-1,
Arrive,Chegar,0,-1,-1,
Give,Dar,0,-1,-1,
Appointment,Consulta/Compromisso (com hora marcada),0,-1,-1,
Told,Disse/Falou,0,-1,-1,
Came,Veio,0,-1,-1,
Saw,Viu,0,-1,-1,
After,Depois,0,-1,-1,
Path,Trilha/Caminho,0,-1,-1,
Windy,Ventando,0,-1,-1,
Believe,Acreditar,0,-1,-1,
Gave,Deu,0,-1,-1,
That is fine,Tudo bem,0,-1,-1,
You are welcome,De nada,0,-1,-1,
Do you think so?,Você acha?,0,-1,-1,
So much,Tanto,0,-1,-1,
Meeting,Encontro/Reunião,0,-1,-1,
Sure,Seguro/Claro,0,-1,-1,
How it going,Como vai,0,-1,-1,
Ran,Correu,0,-1,-1,
Got,Comprou/Recebeu,0,-1,-1,
Already,Já,0,-1,-1,
Sky,Céu,0,-1,-1,
Far,Longe,0,-1,-1,
Wet,Molhado,0,-1,-1,
Have you ever,Você já,0,-1,-1,
Roof,Telhado,0,-1,-1,
Wooden,De madeira,0,-1,-1,
Afraid,Com medo,0,-1,-1,
View,Vista/Visão,0,-1,-1,
Get ready,Ficar pronto,0,-1,-1,
Gone,Foi,0,-1,-1,
Moon,Lua,0,-1,-1,
Been,Esteve/Sendo,0,-1,-1,
Soon,Em breve/Breve,0,-1,-1,
Cold,Resfriado/Frio,0,-1,-1,
Have been,Esteve,0,-1,-1,
Seen,Visto/Viu,0,-1,-1,
Done,Feito/Fez,0,-1,-1,
Through,Pela/Através,0,-1,-1,
Over,Sobre (por cima),0,-1,-1,
By,Perto/De,0,-1,-1,
Going down,Descendo,0,-1,-1,
Around,Ao redor/Em volta,0,-1,-1,
Heard,Ouviu,0,-1,-1,
Until,Até,0,-1,-1,
How about,Que tal,0,-1,-1,
Let's go,Vamos,0,-1,-1,
Should,Deveria/Dever,0,-1,-1,
Finger,Dedo,0,-1,-1,
Matter,Problema,0,-1,-1,
Break,Intervalo/Quebrar,0,-1,-1,
Hurt,Machucar/Doer,0,-1,-1,
Issue,Questão,0,-1,-1,
Toe,Dedo do pé,0,-1,-1,
Worse,Pior,0,-1,-1,
Pain,Dor,0,-1,-1,
Soap,Sabonete,0,-1,-1,
Body,Corpo,0,-1,-1,
Felt,Sentiu-se/Sentiu,0,-1,-1,
Nurse,Enfermeira,0,-1,-1,
Reason,Razão/Motivo,0,-1,-1,
Health,Saúde,0,-1,-1,
Neck,Pescoço,0,-1,-1,
Sail,Velejar,0,-1,-1,
Someone,Alguém,0,-1,-1,
Heart,Coração,0,-1,-1,
Brain,Cérebro,0,-1,-1,
Take care,Se cuida,0,-1,-1,
Theater,Teatro,0,-1,-1,
Concert,Concerto/Show,0,-1,-1,
Girlfriend,Namorada,0,-1,-1,
Everything,Tudo,0,-1,-1,
Almost,Quase,0,-1,-1,
Got married,Se casaram,0,-1,-1,
Was born,Nasceu,0,-1,-1,
Fall,Cair/Outono,0,-1,-1,
Years ago,Anos atrás,0,-1,-1,
Happen,Acontecer,0,-1,-1,
Quickly,Rapidamente,0,-1,-1,
Rode,Montar/Andar,0,-1,-1,
Swam,Nadou,0,-1,-1,
Fall down,Cair,0,-1,-1,
Weeks ago,Semanas atrás,0,-1,-1,
Were born,Nasceram,0,-1,-1,
Such,Tão/Tal,0,-1,-1,
Go for a walk,Dar uma volta,0,-1,-1,
Movie theater,Cinema,0,-1,-1,
Except,Exceto,0,-1,-1,
Chat,Conversa,0,-1,-1,
What's going on,O que está acontecendo,0,-1,-1,
Degree,Grau/Diploma,0,-1,-1,
Bought,Comprou,0,-1,-1,
Born,Nascido,0,-1,-1,
Business degree,Diploma em administração,0,-1,-1,
Sent,Enviou,0,-1,-1,
Spoke,Falou,0,-1,-1,
Another,Outro,0,-1,-1,
Agreed,Concordaram,0,-1,-1,
Dirty,Sujo,0,-1,-1,
Drank,Bebeu,0,-1,-1,
Did,Fez,0,-1,-1,
Slept,Dormiu,0,-1,-1,
Sick,Enjoado/Doente,0,-1,-1,
Sofa,Sofá,0,-1,-1,
Belong,Pertencer,0,-1,-1,
Mine,Meu,0,-1,-1,
Blanket,Cobertor,0,-1,-1,
There is,Há,0,-1,-1,
Yours,Seu,0,-1,-1,
Broke,Quebrou,0,-1,-1,
Had,Teve,0,-1,-1,
Underline,Sublinhar,0,-1,-1,
Effect,Efeito,0,-1,-1,
Division,Divisão,0,-1,-1,
Seat,Assento,0,-1,-1,
Located,Locado,0,-1,-1,
Track,Trilha,0,-1,-1,
Conditions,Condições,0,-1,-1,
Substances,Substâncias,0,-1,-1,
Corn,Milho,0,-1,-1,
Entire,Inteiro,0,-1,-1,
Details,Detalhes,0,-1,-1,
Cotton,Algodão,0,-1,-1,
Rope,Corda,0,-1,-1,
Deal,Acordo/Negócio,0,-1,-1,
Steel,Aço,0,-1,-1,
Win,Ganhar,0,-1,-1,
Match,Igual/Partida,0,-1,-1,
British,Britânico,0,-1,-1,
Northern,Do norte,0,-1,-1,
March,Marchar/Março,0,-1,-1,
Led,Levado,0,-1,-1,
Greek,Grego,0,-1,-1,
Fear,Medo,0,-1,-1,
Allow,Permitir,0,-1,-1,
Rose,Levantou/Rosa,0,-1,-1,
Stretched,Esticado,0,-1,-1,
Forward,Para frente,0,-1,-1,
Score,Contagem,0,-1,-1,
Death,Morte,0,-1,-1,
Similar,Semelhante,0,-1,-1,
Gun,Arma,0,-1,-1,
Huge,Enorme,0,-1,-1,
Fig,Figo,0,-1,-1,
Nose,Nariz,0,-1,-1,
Actually,Na realidade,0,-1,-1,
Suffix,Sufixo,0,-1,-1,
Fresh,Fresco,0,-1,-1,
Chart,Gráfico,0,-1,-1,
Various,Vários,0,-1,-1,
Oxygen,Oxigênio,0,-1,-1,
Church,Igreja,0,-1,-1,
Triangle,Triângulo,0,-1,-1,
Ahead,Para frente,0,-1,-1,
Printed,Imprimido,0,-1,-1,
Fair,Justo/Feira,0,-1,-1,
Southern,Do sul,0,-1,-1,
Settled,Estabelecido,0,-1,-1,
Sharp,Afiado,0,-1,-1,
Cattle,Gado,0,-1,-1,
Spread,Espalhar,0,-1,-1,
Shoulder,Ombro,0,-1,-1,
Park,Estacionar/Parque,0,-1,-1,
Current,Atual,0,-1,-1,
Terms,Condições/Termos,0,-1,-1,
Army,Exército,0,-1,-1,
Lift,Levantar,0,-1,-1,
Weight,Peso,0,-1,-1,
Tube,Tubo,0,-1,-1,
Major,Maior,0,-1,-1,
Rhythm,Ritmo,0,-1,-1,
Stream,Córrego,0,-1,-1,
Chief,Chefe,0,-1,-1,
Sight,Visão,0,-1,-1,
Tied,Amarrado,0,-1,-1,
Fruit,Fruta,0,-1,-1,
Enter,Entrar,0,-1,-1,
Suggest,Sugerir,0,-1,-1,
Consider,Considerar,0,-1,-1,
Loud,Barulhento/Alto,0,-1,-1,
Bell,Sino,0,-1,-1,
Spot,Ponto,0,-1,-1,
Lie,Deitar/Mentir,0,-1,-1,
Thick,Grosso,0,-1,-1,
Branches,Ramos,0,-1,-1,
Pole,Pólo,0,-1,-1,
Wing,Asa,0,-1,-1,
Blow,Assoprar,0,-1,-1,
String,Corda,0,-1,-1,
Sense,Senso,0,-1,-1,
Flat,Apartamento/Liso,0,-1,-1,
Poem,Poema,0,-1,-1,
Crowd,Multidão,0,-1,-1,
Rather,De preferência,0,-1,-1,
Trade,Comércio,0,-1,-1,
Silent,Silencioso,0,-1,-1,
Guess,Adivinhar,0,-1,-1,
Soldier,Soldado,0,-1,-1,
Safe,Cofre/Seguro,0,-1,-1,
Addition,Adição,0,-1,-1,
Fit,Ajustado/Caber,0,-1,-1,
Compound,Combinação/Composto,0,-1,-1,
Board,Tábua,0,-1,-1,
Tail,Rabo,0,-1,-1,
Bones,Ossos,0,-1,-1,
Thus,Assim,0,-1,-1,
Provide,Fornecer,0,-1,-1,
Sand,Areia,0,-1,-1,
Hit,Acertar,0,-1,-1,
Tone,Tom,0,-1,-1,
Crop,Colheita,0,-1,-1,
Corner,Esquina/Canto,0,-1,-1,
Supply,Fornecer,0,-1,-1,
Know,Conhecer,0,-1,-1,
Known,Conhecido,0,-1,-1,
Lady,Senhora,0,-1,-1,
Flow,Corrente/Correr,0,-1,-1,
Hunt,Caçar,0,-1,-1,
Separate,Separado/Separar,0,-1,-1,
Maybe,Talvez,0,-1,-1,
Increase,Aumentar,0,-1,-1,
Serve,Servir,0,-1,-1,
Ring,Tocar (telefone)/Anel,0,-1,-1,
Direct,Direto,0,-1,-1,
Team,Time/Equipe,0,-1,-1,
Fell,Caiu,0,-1,-1,
Caught,Pegou/Capturou,0,-1,-1,
Strange,Estranho,0,-1,-1,
Please,Agradar/Por favor,0,-1,-1,
Garden,Jardim,0,-1,-1,
Whose,De quem,0,-1,-1,
Bit,Mordeu/Pedaço,0,-1,-1,
Visit,Visitar,0,-1,-1,
Wire,Arame,0,-1,-1,
Period,Período,0,-1,-1,
Coast,Litoral/Costa,0,-1,-1,
Suppose,Supor,0,-1,-1,
Seed,Semente,0,-1,-1,
Stick,Vara/Pau,0,-1,-1,
Statement,Afirmação,0,-1,-1,
Rise,Aumentar/Levantar,0,-1,-1,
Straight,Reto,0,-1,-1,
Report,Relatório,0,-1,-1,
Practice,Praticar,0,-1,-1,
Control,Controlar,0,-1,-1,
Yourself,Você mesmo,0,-1,-1,
Yard,Quintal,0,-1,-1,
Single,Solteiro/Único,0,-1,-1,
Pay,Pagar,0,-1,-1,
East,Leste,0,-1,-1,
Drawing,Desenho/Desenhando,0,-1,-1,
Engine,Motor,0,-1,-1,
Experiment,Experimento,0,-1,-1,
Wear,Desgaste/Vestir,0,-1,-1,
Lost,Perdido,0,-1,-1,
Cool,Fresco/Legal,0,-1,-1,
Trouble,Confusão,0,-1,-1,
Valley,Vale,0,-1,-1,
Skin,Pele,0,-1,-1,
Grew,Aumentou/Cresceu,0,-1,-1,
Law,Lei,0,-1,-1,
Design,Desenhar,0,-1,-1,
Burn,Queimar,0,-1,-1,
Itself,Si mesmo,0,-1,-1,
Continued,Contínuo,0,-1,-1,
Shout,Gritar,0,-1,-1,
Climb,Subir/Escalar,0,-1,-1,
Least,Menor,0,-1,-1,
Row,Fila/Linha,0,-1,-1,
Iron,Ferro,0,-1,-1,
Remain,Permanecer,0,-1,-1,
From here,Daqui,0,-1,-1,
Sad,Triste,0,-1,-1,
Ask the,Pedir ao ... por,0,-1,-1,
Food,Alimento/Comida,0,-1,-1,
Too much,Demais,0,-1,-1,
With each other,Um com o outro,0,-1,-1,
To each other,Um com o outro,0,-1,-1,
Purple,Roxo,0,-1,-1,
Comb,Pente,0,-1,-1,
Toothbrush,Escova de dente,0,-1,-1,
Keep,Guardar,0,-1,-1,
Winter,Inverno,0,-1,-1,
Ours,Nosso,0,-1,-1,
Wife,Esposa,0,-1,-1,
Wives,Esposas,0,-1,-1,
Live,Viver,0,-1,-1,
Especially,Especialmente,0,-1,-1,
Cabinet,Armário/Escritório,0,-1,-1,
Which one,Qual,0,-1,-1,
Which ones,Quais,0,-1,-1,
Kept,Guardou,0,-1,-1,
Chose,Escolheu,0,-1,-1,
Chosen,Escolhido,0,-1,-1,
Knives,Facas,0,-1,-1,
Knife,Faca,0,-1,-1,
Fork,Garfo,0,-1,-1,
Spoon,Colher,0,-1,-1,
Lamp,Luminária,0,-1,-1,
Heavy,Pesado,0,-1,-1,
Few,Pouco(s),0,-1,-1,
A few,Um pouco/Algum,0,-1,-1,
Nothing,Nada,0,-1,-1,
Dry,Seco/Secar,0,-1,-1,
Mean,Significar,0,-1,-1,
Textbook,Livro didático,0,-1,-1,
Sat,Sentou,0,-1,-1,
Class,Aula/Classe/Turma,0,-1,-1,
Classmate,Colega de classe,0,-1,-1,
Answered,Respondeu/Respondido,0,-1,-1,
Nobody,Ninguém,0,-1,-1,
Read,Ler/Lido,0,-1,-1,
Taught,Lecionou/Ensinou,0,-1,-1,
Clear,Limpo/Limpar/Claro (claridade),0,-1,-1,
Explain,Explicar,0,-1,-1,
Understand,Entender,0,-1,-1,
Understood,Entendido,0,-1,-1,
This,Isto,0,-1,-1,
That,Isso/Aquilo,0,-1,-1,
Physics,Física,0,-1,-1,
Chemistry,Química,0,-1,-1,
Must,Dever/Obrigação,0,-1,-1,
Borrow,Pegar/Pedir emprestado,0,-1,-1,
Everyone,Todos/Todo mundo,0,-1,-1,
Mistakes,Erro/Engano,0,-1,-1,
Circle,Círculo,0,-1,-1,
Draw,Desenhar,0,-1,-1,
Anybody,Alguém,0,-1,-1,
Case,Caixa/Estojo,0,-1,-1,
Painted,Pintou/Pintado,0,-1,-1,
Adept,Especialista,0,-1,-1,
Anthem,Hino,0,-1,-1,
Alias,Apelido,0,-1,-1,
Amass,Acumular,0,-1,-1,
Apology,Pedido de desculpas,0,-1,-1,
Argument,Discussão,0,-1,-1,
Assist,Ajudar,0,-1,-1,
Attend,Assistir/Participar,0,-1,-1,
Audience,Plateia,0,-1,-1,
Balcony,Sacada,0,-1,-1,
Braces,Aparelho de dentes,0,-1,-1,
Cigar,Charuto,0,-1,-1,
Collar,Colarinho/Coleira/Gola,0,-1,-1,
Comprehensive,Abrangente,0,-1,-1,
Confident,Confiante,0,-1,-1,
Convict,Condenado,0,-1,-1,
Costume,Fantasia,0,-1,-1,
Data,Dados,0,-1,-1,
Deception,Enganar/Fraudar,0,-1,-1,
To dent,Amassar,0,-1,-1,
Devolve,Transferir/Delegar,0,-1,-1,
Diversion,Desvio,0,-1,-1,
Enroll,Alistar/Inscrever,0,-1,-1,
Eventually,Finalmente/Por fim,0,-1,-1,
Exit,Saída,0,-1,-1,
Exquisite,Sofisticado,0,-1,-1,
Fabric,Tecido,0,-1,-1,
Grip,Agarrar (firmemente),0,-1,-1,
Idiom,Idioma,0,-1,-1,
Ingenuity,Criatividade,0,-1,-1,
Inhabitable,Habitável,0,-1,-1,
Injury,Ferimento,0,-1,-1,
To intend,Pretender,0,-1,-1,
Jar,Pote,0,-1,-1,
Lace,Renda,0,-1,-1,
Lecture,Palestra,0,-1,-1,
Legend,Lenda,0,-1,-1,
Library,Biblioteca,0,-1,-1,
Location,Localização,0,-1,-1,
Lunch,Almoço,0,-1,-1,
Magazine,Revista,0,-1,-1,
Mayor,Prefeito,0,-1,-1,
To notice,Notar,0,-1,-1,
Office,Escritório,0,-1,-1,
Parents,Pais,0,-1,-1,
Pasta,Massa,0,-1,-1,
Physician,Médico,0,-1,-1,
Policy,Política/Diretriz,0,-1,-1,
Prejudice,Preconceito,0,-1,-1,
Pull,Puxar,0,-1,-1,
Push,Empurrar,0,-1,-1,
Realize,Notar/Reparar/Perceber,0,-1,-1,
Requirement,Requisito,0,-1,-1,
Resume,Retomar,0,-1,-1,
Retired,Aposentado,0,-1,-1,
Retribution,Punição/Retaliação,0,-1,-1,
Scholar,Intelectual,0,-1,-1,
Sensible,Sensato,0,-1,-1,
Silicon,Silício,0,-1,-1,
